Titles,Date2_x,pm2.5_atm_a
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 12:00:00,6.839
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 17:00:00,8.207
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 00:00:00,9.512
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 01:00:00,9.452
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 02:00:00,13.076
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 03:00:00,7.708
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 04:00:00,7.339
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 05:00:00,8.246
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 06:00:00,8.052
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 07:00:00,6.776
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 08:00:00,7.351
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 09:00:00,8.179
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 10:00:00,7.922
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 11:00:00,8.621
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 12:00:00,9.229
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 13:00:00,8.995000000000001
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 14:00:00,9.396
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 15:00:00,9.836
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 16:00:00,8.116
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 17:00:00,6.01
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 18:00:00,4.626
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 19:00:00,6.047000000000001
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 20:00:00,7.736
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 21:00:00,8.292
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 22:00:00,9.427
Πάτρα: Τραγωδία λίγο πριν την Ανάσταση- Νεκρός νεαρός σε τροχαίο στην Ανθούπολη- ΦΩΤΟ,2022-04-23 23:00:00,11.056
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 00:00:00,12.196000000000002
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 01:00:00,11.667000000000002
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 02:00:00,11.084
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 03:00:00,9.84
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 04:00:00,8.543
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 05:00:00,8.245000000000001
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 06:00:00,7.635
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 07:00:00,6.613
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 08:00:00,5.468
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 09:00:00,5.082
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 10:00:00,4.982
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 11:00:00,5.114
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 12:00:00,4.923
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 13:00:00,6.176
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 14:00:00,6.99
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 15:00:00,6.716
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 16:00:00,7.1690000000000005
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 17:00:00,6.478
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 18:00:00,6.566
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 19:00:00,7.225
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 20:00:00,6.304
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 21:00:00,5.992
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 22:00:00,6.238
Πάτρα: Διασυλλογικοί αγώνες ανδρών-γυναικών και σύνθετων Κ16 ,2022-04-29 23:00:00,6.51
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 00:00:00,8.667
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 01:00:00,9.792000000000002
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 02:00:00,10.452
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 03:00:00,10.384
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 04:00:00,9.666
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 05:00:00,8.439
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 06:00:00,8.378
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 07:00:00,8.368
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 08:00:00,10.35
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 09:00:00,10.156
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 10:00:00,11.125
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 11:00:00,10.778
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 12:00:00,14.815
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 13:00:00,19.835
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 14:00:00,9.2435
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 15:00:00,8.702
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 16:00:00,8.363
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 17:00:00,7.971
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 18:00:00,7.583
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 19:00:00,8.453
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 20:00:00,8.862
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 21:00:00,10.508
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 22:00:00,10.962
"«Δίνουμε Αγάπη, Δίνουμε Ζωή» για τον Γιάννη από τα Καβάσιλα!",2022-05-02 23:00:00,7.764
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 00:00:00,12.17
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 01:00:00,12.356000000000002
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 02:00:00,12.744
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 03:00:00,12.3
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 04:00:00,12.979
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 05:00:00,12.366
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 06:00:00,13.806
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 07:00:00,14.7
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 08:00:00,14.392
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 09:00:00,13.69
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 10:00:00,14.846
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 11:00:00,17.32
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 12:00:00,11.826
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 13:00:00,12.907
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 14:00:00,13.449
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 15:00:00,10.58
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 16:00:00,11.982
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 17:00:00,11.892
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 18:00:00,12.528
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 19:00:00,13.521
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 20:00:00,13.386
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 22:00:00,38.841
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 23:00:00,30.924
"Ερύμανθος: Σοκαριστικό τροχαίο στην 111- Νεκρός ο οδηγός- Αγροτικό ""καρφώθηκε"" στις μπάρες- Εκτινάχθηκαν στο δρόμο οι επιβάτες- ΦΩΤΟ",2022-05-04 21:00:00,18.111
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 00:00:00,20.101
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 01:00:00,15.338
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 02:00:00,17.808
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 04:00:00,12.321000000000002
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 06:00:00,10.689
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 07:00:00,9.64
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 08:00:00,7.162
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 09:00:00,6.521
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 10:00:00,7.545999999999999
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 11:00:00,8.247
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 12:00:00,8.162
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 13:00:00,9.504
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 14:00:00,13.394
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 15:00:00,11.896999999999998
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 16:00:00,10.906
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 17:00:00,10.438
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 18:00:00,10.498
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 19:00:00,10.224
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 20:00:00,7.692
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 22:00:00,12.673
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 23:00:00,11.263
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 03:00:00,7.069
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 05:00:00,7.907999999999999
Χαλί το γήπεδο στο Three Action στην Πάτρα,2022-05-05 21:00:00,12.116
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 00:00:00,21.324
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 01:00:00,15.983999999999998
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 02:00:00,16.057000000000002
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 03:00:00,12.57
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 04:00:00,10.079
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 05:00:00,8.684
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 06:00:00,8.376
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 07:00:00,7.832
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 08:00:00,7.835
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 09:00:00,7.774
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 10:00:00,8.298
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 11:00:00,7.808
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 12:00:00,8.123999999999999
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 13:00:00,8.459
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 14:00:00,8.031
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 15:00:00,9.628
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 16:00:00,8.634
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 17:00:00,8.449
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 18:00:00,8.394
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 19:00:00,8.79
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 20:00:00,9.285
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 21:00:00,11.597
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 22:00:00,11.079
Ο Προμηθέας θέλει να βάλει τέλος στο αρνητικό σερί,2022-05-07 23:00:00,11.268
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 00:00:00,5.258
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 01:00:00,5.665
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 03:00:00,6.065
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 04:00:00,6.352
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 05:00:00,6.356
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 06:00:00,6.579
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 07:00:00,6.755
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 08:00:00,4.432
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 09:00:00,3.332
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 10:00:00,5.454
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 11:00:00,3.098
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 12:00:00,2.928
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 13:00:00,3.29
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 14:00:00,3.042
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 15:00:00,2.781
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 17:00:00,2.609
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 18:00:00,2.964
"Δυτ. Ελλάδα: «Ντου» αγνώστων σε βάρος γονέων-μαθητών του 1ου Λυκείου Αγρινίου, στο Μεσολόγγι ",2022-05-09 19:00:00,3.806
