,Title,time_stamp,pm2.5_atm_a
14,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 14:00:00,6.718
15,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 15:00:00,9.924
16,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 16:00:00,8.497
17,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 17:00:00,10.808
18,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 18:00:00,6.489
19,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 19:00:00,4.813
20,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 20:00:00,2.245
21,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 21:00:00,1.641
22,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 22:00:00,1.322
23,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 23:00:00,7.369
24,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 00:00:00,1.654
25,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 01:00:00,2.633
26,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 02:00:00,2.442
27,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 03:00:00,1.183
28,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 04:00:00,1.508
29,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 05:00:00,1.995
30,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 06:00:00,6.613
31,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 07:00:00,0.983
32,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 08:00:00,3.954
33,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 09:00:00,1.623
34,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 10:00:00,5.455
35,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 11:00:00,4.625
36,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 12:00:00,13.609
37,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 13:00:00,3.756
38,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 14:00:00,4.979
39,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 15:00:00,24.316
40,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 16:00:00,13.956
41,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 17:00:00,19.933
42,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 18:00:00,21.773
43,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 19:00:00,28.822
44,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 20:00:00,27.508
45,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 21:00:00,31.524
46,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 22:00:00,32.294
47,Πάτρα: Έφτασε η ώρα της έναρξης του φετινού Καρναβαλιού,2023-01-21 23:00:00,39.176
48,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 00:00:00,9.645
49,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 01:00:00,9.995
50,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 02:00:00,9.407
51,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 03:00:00,11.076
52,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 04:00:00,13.71
53,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 05:00:00,11.625
54,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 06:00:00,10.33
55,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 07:00:00,8.626
56,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 08:00:00,6.584
57,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 09:00:00,5.878
58,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 10:00:00,5.72
59,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 11:00:00,4.902
60,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 12:00:00,5.101
61,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 13:00:00,5.057
62,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 14:00:00,5.885
63,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 15:00:00,5.427
64,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 16:00:00,6.326
65,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 17:00:00,8.577
66,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 18:00:00,8.826
67,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 19:00:00,10.291
68,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 20:00:00,11.855
69,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 21:00:00,16.509
70,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 22:00:00,13.907
71,"Πάτρα: Το ευχαριστήριο των ""Μαχητών"" για το επιτυχημένο ""Μάτζικ 2023""",2023-05-26 23:00:00,10.842
72,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 00:00:00,9.645
73,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 01:00:00,9.995
74,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 02:00:00,9.407
75,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 03:00:00,11.076
76,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 04:00:00,13.71
77,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 05:00:00,11.625
78,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 06:00:00,10.33
79,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 07:00:00,8.626
80,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 08:00:00,6.584
81,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 09:00:00,5.878
82,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 10:00:00,5.72
83,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 11:00:00,4.902
84,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 12:00:00,5.101
85,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 13:00:00,5.057
86,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 14:00:00,5.885
87,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 15:00:00,5.427
88,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 16:00:00,6.326
89,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 17:00:00,8.577
90,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 18:00:00,8.826
91,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 19:00:00,10.291
92,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 20:00:00,11.855
93,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 21:00:00,16.509
94,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 22:00:00,13.907
95,Πάτρα: Τροχαίο με τραυματίες στην περιοχή Μουρτά-ΦΩΤΟ,2023-05-26 23:00:00,10.842
96,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 00:00:00,9.645
97,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 01:00:00,9.995
98,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 02:00:00,9.407
99,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 03:00:00,11.076
100,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 04:00:00,13.71
101,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 05:00:00,11.625
102,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 06:00:00,10.33
103,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 07:00:00,8.626
104,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 08:00:00,6.584
105,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 09:00:00,5.878
106,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 10:00:00,5.72
107,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 11:00:00,4.902
108,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 12:00:00,5.101
109,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 13:00:00,5.057
110,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 14:00:00,5.885
111,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 15:00:00,5.427
112,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 16:00:00,6.326
113,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 17:00:00,8.577
114,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 18:00:00,8.826
115,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 19:00:00,10.291
116,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 20:00:00,11.855
117,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 21:00:00,16.509
118,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 22:00:00,13.907
119,Πάτρα: Ο Rous έρχεται για ένα μουσικό live την Πέμπτη 8 Ιουνίου 2023 ,2023-05-26 23:00:00,10.842
120,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 00:00:00,2.065
121,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 01:00:00,4.726
122,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 02:00:00,0.77
123,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 03:00:00,0.146
124,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 04:00:00,1.987
125,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 05:00:00,3.863
126,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 06:00:00,0.69
127,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 07:00:00,0.459
128,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 08:00:00,3.182
129,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 09:00:00,2.053
130,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 10:00:00,5.075
131,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 11:00:00,8.591
132,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 12:00:00,8.306
133,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 13:00:00,4.969
134,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 14:00:00,9.271
135,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 15:00:00,12.564
136,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 16:00:00,10.402
137,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 17:00:00,8.233
138,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 18:00:00,22.266
139,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 19:00:00,6.008
140,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 20:00:00,5.733
141,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 21:00:00,4.83
142,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 22:00:00,2.308
143,Πλήθος κόσμου στην κοπή της πρωτοχρονιάτικης πίτας του Ελληνικού Ερυθρού Σταυρού -Δείτε φωτό,2023-01-20 23:00:00,1.397
144,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 00:00:00,13.264
145,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 01:00:00,12.863
146,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 02:00:00,13.262
147,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 03:00:00,11.753
148,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 04:00:00,12.421
149,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 05:00:00,11.238
150,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 06:00:00,9.64
151,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 07:00:00,9.309
152,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 08:00:00,9.129
153,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 09:00:00,8.502
154,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 10:00:00,6.393
155,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 11:00:00,6.763
156,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 12:00:00,5.921
157,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 13:00:00,4.715
158,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 14:00:00,4.671
159,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 15:00:00,5.081
160,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 16:00:00,5.423
161,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 17:00:00,6.092
162,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 18:00:00,6.882
163,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 19:00:00,6.472
164,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 20:00:00,5.472
165,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 21:00:00,4.625
166,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 22:00:00,4.594
167,Πλήθος κόσμου στην ομιλία του Άγγελου Τσιγκρή στο Αίγιο,2023-05-18 23:00:00,4.739
168,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 00:00:00,13.264
169,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 01:00:00,12.863
170,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 02:00:00,13.262
171,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 03:00:00,11.753
172,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 04:00:00,12.421
173,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 05:00:00,11.238
174,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 06:00:00,9.64
175,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 07:00:00,9.309
176,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 08:00:00,9.129
177,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 09:00:00,8.502
178,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 10:00:00,6.393
179,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 11:00:00,6.763
180,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 12:00:00,5.921
181,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 13:00:00,4.715
182,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 14:00:00,4.671
183,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 15:00:00,5.081
184,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 16:00:00,5.423
185,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 17:00:00,6.092
186,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 18:00:00,6.882
187,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 19:00:00,6.472
188,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 20:00:00,5.472
189,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 21:00:00,4.625
190,Θεαματική η προσέλευση του κόσμου στο Street Food Fest 2023 στο πρώτο τετραήμερο ,2023-05-18 22:00:00,4.594
